gcid                 end                  start                valid                duration             blocknum            
0                    26412360000.0        26410860000          0.0                  1500000.0            126                 
1                    26412360000.0        26410860000          0.0                  1500000.0            1669                
2                    26412360000.0        26410860000          0.0                  1500000.0            2649                
3                    26412360000.0        26410860000          0.0                  1500000.0            3161                
4                    26412360000.0        26410860000          0.0                  1500000.0            3851                
5                    26412560000.0        26410860000          0.0                  1700000.0            2222                
6                    26412760000.0        26410860000          0.0                  1900000.0            607                 
7                    26412760000.0        26410860000          0.0                  1900000.0            1126                
8                    26414260000.0        26412760000.0        0.0                  1500000.0            158                 
9                    26414260000.0        26412760000.0        0.0                  1500000.0            674                 
10                   26414260000.0        26412760000.0        0.0                  1500000.0            1188                
11                   26414260000.0        26412760000.0        0.0                  1500000.0            1727                
12                   26414260000.0        26412760000.0        0.0                  1500000.0            2235                
13                   26414260000.0        26412760000.0        0.0                  1500000.0            2682                
14                   26414260000.0        26412760000.0        0.0                  1500000.0            3226                
15                   26414260000.0        26412760000.0        0.0                  1500000.0            3972                
16                   26415760000.0        26414260000.0        0.0                  1500000.0            203                 
17                   26415760000.0        26414260000.0        0.0                  1500000.0            688                 
18                   26415760000.0        26414260000.0        0.0                  1500000.0            1244                
19                   26415760000.0        26414260000.0        0.0                  1500000.0            1741                
20                   26415760000.0        26414260000.0        0.0                  1500000.0            2298                
21                   26415760000.0        26414260000.0        0.0                  1500000.0            2877                
22                   26415760000.0        26414260000.0        0.0                  1500000.0            3234                
23                   26415760000.0        26414260000.0        0.0                  1500000.0            3981                
24                   26417260000.0        26415760000.0        0.0                  1500000.0            236                 
25                   26417260000.0        26415760000.0        0.0                  1500000.0            748                 
26                   26417260000.0        26415760000.0        0.0                  1500000.0            1362                
27                   26417260000.0        26415760000.0        0.0                  1500000.0            1775                
28                   26417260000.0        26415760000.0        0.0                  1500000.0            2302                
29                   26417260000.0        26415760000.0        0.0                  1500000.0            2892                
30                   26417260000.0        26415760000.0        0.0                  1500000.0            3262                
31                   26417260000.0        26415760000.0        0.0                  1500000.0            4004                
32                   26418760000.0        26417260000.0        0.0                  1500000.0            254                 
33                   26418760000.0        26417260000.0        0.0                  1500000.0            764                 
34                   26418760000.0        26417260000.0        0.0                  1500000.0            1445                
35                   26418760000.0        26417260000.0        0.0                  1500000.0            1790                
36                   26418760000.0        26417260000.0        0.0                  1500000.0            2402                
37                   26418760000.0        26417260000.0        0.0                  1500000.0            2896                
38                   26418760000.0        26417260000.0        0.0                  1500000.0            3292                
39                   26418760000.0        26417260000.0        0.0                  1500000.0            4009                
40                   26420260000.0        26418760000.0        0.0                  1500000.0            256                 
41                   26420260000.0        26418760000.0        0.0                  1500000.0            812                 
42                   26420260000.0        26418760000.0        0.0                  1500000.0            1449                
43                   26420260000.0        26418760000.0        0.0                  1500000.0            1867                
44                   26420260000.0        26418760000.0        0.0                  1500000.0            2458                
45                   26420260000.0        26418760000.0        0.0                  1500000.0            2980                
46                   26420260000.0        26418760000.0        0.0                  1500000.0            3393                
47                   26420260000.0        26418760000.0        0.0                  1500000.0            4027                
48                   26421760000.0        26420260000.0        0.0                  1500000.0            330                 
49                   26421760000.0        26420260000.0        0.0                  1500000.0            815                 
50                   26421760000.0        26420260000.0        0.0                  1500000.0            1453                
51                   26421760000.0        26420260000.0        0.0                  1500000.0            1885                
52                   26421760000.0        26420260000.0        0.0                  1500000.0            2466                
53                   26421760000.0        26420260000.0        0.0                  1500000.0            2985                
54                   26421760000.0        26420260000.0        0.0                  1500000.0            3425                
55                   26421760000.0        26420260000.0        0.0                  1500000.0            4038                
56                   26423260000.0        26421760000.0        0.0                  1500000.0            332                 
57                   26423260000.0        26421760000.0        0.0                  1500000.0            822                 
58                   26423260000.0        26421760000.0        0.0                  1500000.0            1888                
59                   26423260000.0        26421760000.0        0.0                  1500000.0            2468                
60                   26423260000.0        26421760000.0        0.0                  1500000.0            3493                
61                   26423480000.0        26421760000.0        0.00390625           1720000.0            3803                
62                   26424960000.0        26421760000.0        0.00390625           3200000.0            1198                
63                   26424960000.0        26421760000.0        0.00390625           3200000.0            2693                
64                   26426460000.0        26424960000.0        0.0                  1500000.0            408                 
65                   26426460000.0        26424960000.0        0.0                  1500000.0            831                 
66                   26426460000.0        26424960000.0        0.0                  1500000.0            1901                
67                   26426460000.0        26424960000.0        0.0                  1500000.0            2473                
68                   26426460000.0        26424960000.0        0.0                  1500000.0            3497                
